model,granularity,data_source,TP,FP,FN,TN,precision,recall,false_positive_rate,accuracy,positive_label_count,negative_label_count,roc_auc,pr_auc,average_detection_latency_sec,median_detection_latency_sec,detected_anomalous_trips,missed_anomalous_trips,latency_target_sec,latency_target_met
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,29,3991,0,16392,0.007213930348258706,1.0,0.19580042192022765,0.8044777581814618,29,20383,0.8051960135812974,0.0034791835148942113,0.0,0.0,6,0,10.0,True
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,5,53,1,20,0.08620689655172414,0.8333333333333334,0.726027397260274,0.31645569620253167,6,73,0.3162100456621005,0.052505893926417475,9.803526,0.0,5,1,10.0,True
