false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
4.9060491586125696e-05,0.0,0.10355476207565772
0.0005887258990335084,0.0,0.09997422423035096
0.0006868468822057597,0.0,0.09960425911375015
0.0011283913064808909,0.0,0.0979893692579733
0.0012265122896531423,0.0,0.09730992912183667
0.001422754255997645,0.0,0.09567363698976283
0.0015208752391698964,0.0,0.0956630875133706
0.0020114801550311532,0.0,0.09318062447297148
0.002109601138203405,0.0,0.09305151624926222
0.0025020850708924102,0.0,0.09209876568362019
0.002698327037236913,0.0,0.09196416228848758
0.0027964480204091644,0.0,0.09178644187704166
0.002894569003581416,0.0,0.09178015427453057
0.0029926899867536673,0.0,0.0915796901457201
0.0030908109699259185,0.0,0.09143113289145977
0.003679536868959427,0.0,0.09028203772574861
0.0037776578521316784,0.0,0.09018893459305133
0.0050041701417848205,0.0,0.08758129081797383
0.005102291124957072,0.0,0.08753431185665417
0.005151351616543198,0.0,0.0875280614656524
0.005249472599715449,0.0,0.08749767760532412
0.005445714566059952,0.0,0.08682182994985821
0.0055438355492322035,0.0,0.0866150349021706
0.005887258990335083,0.0,0.08619472103088444
0.0059853799735073345,0.0,0.08614326695325303
0.006181621939851837,0.0,0.08581688969678825
0.0064759848893685915,0.0,0.08579074868194936
0.006770347838885345,0.0,0.08493632421935149
0.0070647107884021,0.0,0.0845583070197885
0.007506255212677231,0.0,0.08359344903985955
0.007702497179021734,0.0,0.08332799721328632
0.007947799636952363,0.0,0.0829500207877194
0.008045920620124613,0.0,0.08280137327672932
0.008487465044399746,0.0,0.08139895158270549
0.008634646519158122,0.0,0.08122384389644555
0.008683707010744248,0.0,0.08089197461958397
0.00991021930039739,0.0,0.08087375842305289
0.010204582249914143,0.0,0.0806987806145053
0.010302703233086396,0.0,0.08057574257369615
0.010400824216258648,0.0,0.08052384607711804
0.010449884707844772,0.0,0.0803712756445848
0.010548005691017024,0.0,0.08034895480019066
0.0106951871657754,0.0,0.08002161179101164
0.011921699455428543,0.0,0.07999930198492489
0.012019820438600795,0.0,0.07993059036418215
0.012167001913359171,0.0,0.07968389443833701
0.012265122896531424,0.0,0.07967573778750792
0.01231418338811755,0.0,0.07967371340163376
0.012461364862875926,0.0,0.07964982208315508
0.012559485846048178,0.0,0.07949369071358825
0.013197272236667812,0.0,0.07947514694810731
0.013393514203012314,0.0,0.07915182273888621
0.01354069567777069,0.0,0.07912592625626191
0.013589756169356816,0.0,0.0791156184434263
0.013687877152529069,0.0,0.07897727075665262
